Product,ASIN,Announced,Size,Resolution,OS,Chipset,Memory,Rear Camera,Front Camera,Weight,Battery,URL
Samsung Galaxy S9+ Unlocked Smartphone - Lilac Purple - US Warranty,B079JPRTKD,"2018, February","6.2 inches, 98.3 cm2 (~84.2% screen-to-body ratio)","1440 x 2960 pixels, 18.5:9 ratio (~529 ppi density)",Android 8.0 (Oreo),"Exynos 9810 Octa - EMEAQualcomm SDM845 Snapdragon 845 - USA/LATAM, China","64/128/256 GB, 6 GB RAM - China128 GB, 6 GB RAM - LATAM","12 MP, f/1.5-2.4, 26mm, 1/2.55"", 1.4Âµm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm, 1/3.6"", 1Âµm, AF, OIS, 2x optical zoom","8 MP, f/1.7, 25mm, 1/3.6"", 1.22Âµm, AF",189 g (6.67 oz),3500 mAh,https://www.gsmarena.com/samsung_galaxy_s9+-8967.php#g965u
Samsung SM-G900V - Galaxy S5-16GB Android Smartphone Verizon - Black (Certified Refurbished),B06VW5FVLB,"2014, February. Released 2014, April","5.1 inches, 71.7 cm2 (~69.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~432 ppi density)","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",Qualcomm MSM8974AC Snapdragon 801,"16/32 GB, 2 GB RAM","16 MP, f/2.2, 31mm, 1/2.6"", 1.12Âµm, PDAF","2 MP, f/2.4, 22mm",145 g (5.11 oz),2800 mAh,https://www.gsmarena.com/samsung_galaxy_s5-6033.php
"Apple iPhone 7 , Fully Unlocked, 32GB - Silver (Certified Refurbished)",B01N5SCQ2A,"2016, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 10.0.1, upgradable to iOS 11.4.1",Apple A10 Fusion,"32/128/256 GB, 2 GB RAM","12 MP, f/1.8, 28mm, 1/3"", OIS, PDAF","7 MP, f/2.2, 32mm",138 g (4.87 oz),1960 mAh,https://www.gsmarena.com/apple_iphone_7-8064.php
"Apple iPhone SE 64GB Unlocked Smartphone, GSM Only (AT&T/T-Mobile), Space Gray (Certified Refurbished)",B01GXAZFR8,"2016, March","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","iOS 9.3.2, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22Âµm, PDAF","1.2 MP, f/2.4, 31mm",113 g (3.99 oz),1624 mAh,https://www.gsmarena.com/apple_iphone_se-7969.php
"Motorola Moto G6 Plus XT1926-7 64GB 5.9"" Dual SIM 4G LTE Factory Unlocked Smartphone International Model - No Warranty (Deep Indigo)",B07CHWMYHP,"2018, April","5.9 inches, 89.8 cm2 (~74.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~409 ppi density)","Android 8.0 (Oreo), planned upgrade to Android 9.0 (Pie)",Qualcomm SDM630 Snapdragon 630,"64/128 GB, 4/6 GB RAM","12 MP, f/1.7, dual pixel PDAF
5 MP, f/2.2, depth sensor","8 MP, f/2.2",167 g (5.89 oz),3200 mAh,https://www.gsmarena.com/motorola_moto_g6_plus-9001.php
"Apple iPhone SE 32 GB Factory Unlocked, Space Gray (Certified Refurbished)",B0751RGH6W,"2016, March","4.0 inches, 44.1 cm2 (~60.8% screen-to-body ratio)","640 x 1136 pixels, 16:9 ratio (~326 ppi density)","iOS 9.3.2, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22µm, PDAF","1.2 MP, f/2.4, 31mm",113 g (3.99 oz),1624 mAh,https://www.gsmarena.com/apple_iphone_se-7969.php
"Nokia 2 - Android - 8GB - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/H2O) - 5"" Screen - White - U.S. Warranty",B075FKVJV3,"2017, October","5.0 inches, 68.9 cm2 (~67.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)","Android 7.1.1 (Nougat), planned upgrade to Android 8.1 (Oreo)",Qualcomm MSM8909v2 Snapdragon 212,"8 GB, 1 GB RAM","8 MP, AF",5 MP,161 g (5.68 oz),4100 mAh,https://www.gsmarena.com/nokia_2-8513.php
"Samsung S7 Unlocked GSM Smartphone, Gold, 32GB",B01CYYYRMQ,"2016, February","5.1 inches, 71.5 cm2 (~72.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~577 ppi density)","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo)",Exynos 8890 Octa,"32/64 GB, 4 GB RAM","12 MP, f/1.7, 26mm, 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS","5 MP, f/1.7, 22mm, 1/4.1"", 1.34µm",152 g (5.36 oz),3000 mAh,https://www.gsmarena.com/samsung_galaxy_s7-7821.php#g930f
"Apple iPhone 7 , Fully Unlocked, 128GB - Rose Gold (Certified Refurbished)",B01NCYY6OK,"2016, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 10.0.1, upgradable to iOS 12",Apple A10 Fusion,"32/128/256 GB, 2 GB RAM","12 MP, f/1.8, 28mm (wide), 1/3"", OIS, PDAF","7 MP, f/2.2, 32mm (standard)",138 g (4.87 oz),1960 mAh,https://www.gsmarena.com/apple_iphone_7-8064.php
"Apple iPhone 6S, GSM Unlocked, 32GB - Space Gray (Certified Refurbished)",B071P9HZWW,"2015, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 9, upgradable to iOS 12",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm (standard), 1/3"", 1.22µm, PDAF","5 MP, f/2.2, 31mm (standard)",143 g (5.04 oz),1715 mAh,https://www.gsmarena.com/apple_iphone_6s-7242.php
