Rank,Vendor,Product,ASIN,Price,Star Rating,Reviews,Date,Time
53,Samsung,"Samsung Galaxy Note9 Factory Unlocked Phone with 6.4"" Screen and 128GB (U.S. Warranty), Ocean Blue",B07FZH9BGV,979.0,4.6,69,2018-10-08,13:01
54,Samsung,"Samsung Galaxy J7 Pro (32GB) J730G/DS - 5.5"" Full HD Dual SIM Unlocked Phone with Finger Print Sensor (US & Latin 4G LTE) (Pink)",B0756RR5XY,229.0,3.8,632,2018-10-08,13:01
55,Samsung,"Samsung Galaxy J2 Prime (16GB) 5.0"" 4G LTE GSM Dual SIM Factory Unlocked International Version, No Warranty G532M/DS (Silver)",B079J5BLZP,100.0,3.8,90,2018-10-08,13:01
56,Samsung,Samsung Galaxy S9+ Unlocked Smartphone - Midnight Black - US Warranty,B079JXY4TJ,739.8,4.2,682,2018-10-08,13:01
57,Apple,"Apple iPhone SE A1662 GSM Unlocked Phone, 16GB, Rose Gold (Certified Refurbished)",B01GXAT0CE,142.99,3.8,1048,2018-10-08,13:01
58,Apple,Apple iPhone 6S 16GB - GSM Unlocked - Rose Gold (Certified Refurbished),B01J8PBEUM,205.0,3.9,743,2018-10-08,13:01
59,Nokia,"Nokia 3310 3G - Unlocked Feature Phone (AT&T/T-Mobile/MetroPCS/Cricket/H2O) - 2.4"" Screen - Charcoal - U.S. Warranty",B075FL4H89,47.9,3.3,187,2018-10-08,13:01
60,BLU,"BLU Studio X8 HD - 5.0"" GSM Unlocked Smartphone -Black",B01EYT1URO,44.77,3.0,1426,2018-10-08,13:01
61,Motorola,Moto G6 – 32 GB – Unlocked (AT&T/Sprint/T-Mobile/Verizon) – Oyster Blush - Prime Exclusive Phone,B07CFMSWXD,239.99,3.9,61,2018-10-08,13:01
62,Nokia,"Nokia 7.1 - Android One (Pie) - 64 GB - 12+5 MP Dual Camera - Dual SIM Unlocked Smartphone (at&T/T-Mobile/MetroPCS/Cricket/H2O) - 5.84"" FHD+ HDR Screen - Blue - U.S. Warranty",n/a,349.0,,0,2018-10-08,13:01
63,Apple,"Apple iPhone 6S, Fully Unlocked, 16GB - Rose Gold (Certified Refurbished)",B06XRG6S73,217.99,4.0,236,2018-10-08,13:01
64,Samsung,Samsung Galaxy S7 SM-G930T - 32GB - GSM Unlocked - Black Onyx (Certified Refurbished),B075MSP5LH,225.83,3.4,99,2018-10-08,13:01
65,Samsung,Samsung Galaxy S9 Unlocked Smartphone - Lilac Purple - US Warranty,B079H6L4V2,614.88,4.2,682,2018-10-08,13:01
66,Essential,Essential Phone in Halo Gray – 128 GB Unlocked Titanium and Ceramic phone with Edge-to-Edge Display,B078SQ7GWK,267.99,4.1,1647,2018-10-08,13:01
67,Samsung,Samsung Galaxy S8+ Unlocked 64GB  - US Version (Midnight Black) - US Warranty,B06Y16RL4W,567.27,4.0,1372,2018-10-08,13:01
68,BLU,"BLU VIVO XI+ - 6.2” Full HD+ Display Smartphone, 128GB+6GB RAM, AI Dual Cameras -Black",B07FWNFT8L,329.99,4.1,59,2018-10-08,13:01
69,BLU,"BLU Grand XL - Unlocked Smartphone -5.5"" Display, 8GB +1GB RAM -Silver",B07BR74R8S,59.99,2.7,47,2018-10-08,13:01
70,Samsung,Samsung Galaxy J7 Prime Factory Unlocked Phone Dual Sim - 32GB -Pink Gold …,B01N21FV6R,199.0,3.6,1141,2018-10-08,13:01
71,Apple,"Apple iPhone 6 16 GB Unlocked, Silver (Certified Refurbished)",B01BI2VZEI,169.99,3.2,1641,2018-10-08,13:01
72,Apple,Apple iPhone 6S 64GB - GSM Unlocked - Space Gray (Certified Refurbished),B01CR1AA90,269.99,3.8,2513,2018-10-08,13:01
73,LG,"LG Phoenix 3 Unlocked 4g Lte USA Latin Caribbean Gsm 5"" HD 16GB 1.5Gb Ram M150 Android 6.0 Desbloqueado",B072BGNWTV,69.72,2.9,98,2018-10-08,13:01
74,LG,LG K30 – 16 GB – Unlocked (AT&T/T-Mobile/Verizon) – Black – Prime Exclusive Phone,B07CSWV219,139.99,3.9,71,2018-10-08,13:01
75,Samsung,Samsung Galaxy S8 64GB GSM Unlocked Phone - International Version (Midnight Black),B06Y137TLR,481.0,4.0,322,2018-10-08,13:01
76,Samsung,"Samsung Galaxy J7 Pro SM-J730GM/DS 32GB Gold, Dual Sim, 5.5"", 13MP, GSM Unlocked International Model, No Warranty",B073ZM57JC,225.0,3.8,632,2018-10-08,13:01
