Rank,Vendor,Product,ASIN,Price,Star Rating,Reviews,Date,Time,,Announced,Size,Resolution,OS,Chipset,Memory,Rear Camera,Front Camera,Weight,Battery,URL
21,Apple,"Apple iPhone 6 GSM Unlocked, 64 GB - Space Gray (Certified Refurbished) ",B014Z8HDWU,199.99,3.0,338,2018-10-08,13:01,,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 11.4.1",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","1.2 MP, f/2.2, 31mm",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
22,Xiaomi,"Xiaomi Redmi Note 5 64GB Black, Dual Sim, 4GB RAM, 5.99"", GSM Unlocked Global Version, No Warranty (Black)",B07D82MTZL,205.83,4.7,53,2018-10-08,13:01,,"2018, February","5.99 inches, 92.6 cm2 (~77.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~403 ppi density)","Android 7.1.2 (Nougat), upgradable to Android 8.1 (Oreo)",Qualcomm MSM8953 Snapdragon 625,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM","12 MP, f/2.2, 1.25 ÃƒÆ’Ã…Â½Ãƒâ€šÃ‚Â¼m, dual pixel PDAF",5 MP,180 g (6.35 oz),4000 mAh,https://www.gsmarena.com/xiaomi_redmi_note_5_(redmi_5_plus)-8959.php#redmi-note-5
23,Samsung,Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Certified Refurbished),B01D0JV7AO,157.89,3.5,353,2018-10-08,13:01,,,,,,,,,,,,
24,Apple,"Apple iPhone 6, Fully Unlocked, 64GB - Space Gray (Certified Refurbished)",B00YD54AYU,199.99,3.3,668,2018-10-08,13:01,,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 12",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm (standard), 1/3"", 1.5µm, PDAF","1.2 MP, f/2.2, 31mm (standard)",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
25,LG,LG B470 Flip Phone Unlocked GSM 3G AT&T Unlocked (NOT CDMA Carriers like Verizon Sprint Boost Mobile Virgin),B01N3PIIZW,45.98,3.0,137,2018-10-08,13:01,,,,,,,,,,,,
26,Motorola,Moto G6 – 64 GB – Unlocked (AT&T/Sprint/T-Mobile/Verizon) – Deep Indigo – Prime Exclusive Phone,B07C38BKCD,299.99,4.0,135,2018-10-08,13:01,,"2018, April","5.7 inches, 83.8 cm2 (~75.4% screen-to-body ratio)","1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",Android 8.0 (Oreo),Qualcomm SDM450 Snapdragon 450,"64 GB, 4 GB RAM or 32 GB, 3 GB RAM","12 MP, f/1.8, 1.4ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF
5 MP, f/2.2, depth sensor","8 MP or 16 MP, f/2.2",167 g (5.89 oz),3000 mAh,https://www.gsmarena.com/motorola_moto_g6-9000.php
27,Samsung,"Samsung Galaxy J7 Prime (32GB) G610F/DS - 5.5"" Dual SIM Unlocked Phone with Finger Print Sensor (Gold)",B01MUSD2ST,204.0,3.6,1141,2018-10-08,13:01,,"2016, August","5.5 inches, 83.4 cm2 (~73.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Android 6.0.1 (Marshmallow), upgradable to 7.0 (Nougat)",Exynos 7870 Octa,"16/32 GB, 3 GB RAM","13 MP, f/1.9, 28mm, AF","8 MP, f/1.9",167 g (5.89 oz),3300 mAh,https://www.gsmarena.com/samsung_galaxy_j7_prime-8314.php#g610f
28,Apple,"Apple iPhone 6S 64GB GSM Unlocked, Rose Gold (Certified Refurbished)",B01CR1FQMG,279.99,3.8,2512,2018-10-08,13:01,,"2015, September","4.7 inches, 60.9 cm2 (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 9, upgradable to iOS 11.4.1",Apple A9,"16/32/64/128 GB, 2 GB RAM","12 MP, f/2.2, 29mm, 1/3"", 1.22ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","5 MP, f/2.2, 31mm",143 g (5.04 oz),1715 mAh,https://www.gsmarena.com/apple_iphone_6s-7242.php
29,Apple,"Apple iPhone 6, Fully Unlocked, 16GB - Space Gray (Certified Refurbished)",B06XRGN22N,169.99,3.3,183,2018-10-08,13:01,,"2014, September","4.7 inches, 60.9 cm2 (~65.8% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","iOS 8, upgradable to iOS 11.4.1",Apple A8,"16/32/64/128 GB, 1 GB RAM DDR3","8 MP, f/2.2, 29mm, 1/3"", 1.5ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Âµm, PDAF","1.2 MP, f/2.2, 31mm",129 g (4.55 oz),1810 mAh,https://www.gsmarena.com/apple_iphone_6-6378.php
30,Samsung,"Samsung Galaxy J2 Prime (16GB) 5.0"" 4G LTE GSM Dual SIM Factory Unlocked International Version, No Warranty G532M/DS Pink gold",B07C2CVRN2,100.0,3.8,90,2018-10-08,13:01,,"2016, November","5.0 inches, 68.9 cm2 (~66.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~220 ppi density)",Android 6.0 (Marshmallow),Mediatek MT6737T,"8 GB, 1.5 GB RAM","8 MP, AF, f/2.2","5 MP, f/2.2",160 g (5.64 oz),2600 mAh,https://www.gsmarena.com/samsung_galaxy_j2_prime-8424.php
